pOTU,Phylodist,Niche0ver,CladeID
pOTU036_pOTU033,48,0.059759689,NN
pOTU036_pOTU029,48,0.045025016,NN
pOTU036_pOTU025,48,0.056101407,NN
pOTU036_pOTU023,48,0.030917552,NN
pOTU036_pOTU026,48,0.109989482,NN
pOTU036_pOTU028,48,0.11908875,NN
pOTU036_pOTU027,52,0.032946231,NN
pOTU036_pOTU019,48,0.096811186,NN
pOTU036_pOTU018,48,0.098549663,NN
pOTU036_pOTU024,48,0.04602212,NN
pOTU036_pOTU016,48,0.046119699,NN
pOTU036_pOTU020,48,0.515749765,NN
pOTU036_pOTU017,48,0.042623671,NN
pOTU036_pOTU008,48,0.048545891,NN
pOTU036_pOTU011,48,0.042435035,NN
pOTU036_pOTU010,48,0.122165583,NN
pOTU036_pOTU051,48,0.364006154,NN
pOTU036_pOTU052,48,0.19417083,NN
pOTU036_pOTU040,50,0.167660317,NN
pOTU036_pOTU014,48,0.339999654,NN
pOTU036_pOTU013,48,0.104018431,NN
pOTU036_pOTU006,48,0.018755411,NN
pOTU036_pOTU009,48,0.572592193,NN
pOTU036_pOTU007,48,0.516008461,NN
pOTU022_pOTU047,46,0.623429364,NN
pOTU022_pOTU059,46,0.183019505,NN
pOTU022_pOTU049,46,0.430088351,NN
pOTU022_pOTU054,46,0.167142894,NN
pOTU022_pOTU036,48,0.531627405,NN
pOTU022_pOTU005,46,0.43990794,NN
pOTU022_pOTU004,46,0.295536506,NN
pOTU022_pOTU003,46,0.549316694,NN
pOTU022_pOTU002,46,0.793243269,NN
pOTU022_pOTU046,52,0.329570165,NN
pOTU022_pOTU048,46,0.164995136,NN
pOTU022_pOTU041,52,0.319310167,NN
pOTU022_pOTU042,52,0.231350318,NN
pOTU022_pOTU032,46,0.358786381,NN
pOTU022_pOTU038,52,0.33637694,NN
pOTU022_pOTU029,46,0.285200597,NN
pOTU022_pOTU023,46,0.259058513,NN
pOTU022_pOTU028,46,0.402921699,NN
pOTU022_pOTU027,52,0.287659203,NN
pOTU022_pOTU019,46,0.391724114,NN
pOTU022_pOTU021,48,0.320782278,NN
pOTU022_pOTU018,46,0.306083634,NN
pOTU022_pOTU016,46,0.243895211,NN
pOTU022_pOTU020,46,0.2840566,NN
pOTU022_pOTU017,46,0.277288339,NN
pOTU022_pOTU008,46,0.300828549,NN
pOTU022_pOTU011,46,0.276264805,NN
pOTU022_pOTU010,46,0.354070731,NN
pOTU022_pOTU051,46,0.148695822,NN
pOTU022_pOTU052,46,0.090482837,NN
pOTU022_pOTU030,48,0.233037522,NN
pOTU022_pOTU037,48,0.088288182,NN
pOTU022_pOTU040,50,0.197723918,NN
pOTU022_pOTU031,48,0.16556158,NN
pOTU022_pOTU015,48,0.116283726,NN
pOTU022_pOTU012,48,0.190911552,NN
pOTU022_pOTU009,46,0.344828802,NN
pOTU022_pOTU007,46,0.244825718,NN
pOTU022_pOTU001,48,0.36867891,NN
pOTU005_pOTU047,44,0.280593656,NN
pOTU005_pOTU059,44,0.321140883,NN
pOTU005_pOTU054,44,0.049907188,NN
pOTU005_pOTU036,48,0.136127566,NN
